Date,Code,WholeDayOpen,WholeDayHigh,WholeDayLow,WholeDayClose,NightSessionOpen,NightSessionHigh,NightSessionLow,NightSessionClose,DaySessionOpen,DaySessionHigh,DaySessionLow,DaySessionClose,Volume,OpenInterest,TurnoverValue,ContractMonth,StrikePrice,Volume(OnlyAuction),EmergencyMarginTriggerDivision,PutCallDivision,LastTradingDay,SpecialQuotationDay,SettlementPrice,TheoreticalPrice,BaseVolatility,UnderlyingPrice,ImpliedVolatility,InterestRate
2022-01-04,130067218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-06,27250.0,0.0,002,1,2025-06-12,2025-06-13,3900.0,3693.9961,14.70365,29301.79,20.54,0.1564
2022-01-04,130067518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-06,27500.0,0.0,002,1,2025-06-12,2025-06-13,4030.0,3816.0911,14.70365,29301.79,20.4905,0.1564
2022-01-04,130067718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-06,17750.0,0.0,002,1,2025-06-12,2025-06-13,900.0,842.5912,14.70365,29301.79,24.9824,0.1564
2022-01-04,130068018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-06,18000.0,0.0,002,1,2025-06-12,2025-06-13,940.0,879.6266,14.70365,29301.79,24.7986,0.1564
2022-01-04,130068218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-06,18250.0,0.0,002,1,2025-06-12,2025-06-13,985.0,918.3132,14.70365,29301.79,24.6516,0.1564
2022-01-04,130068518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-06,18500.0,0.0,002,1,2025-06-12,2025-06-13,1025.0,958.6273,14.70365,29301.79,24.4463,0.1564
2022-01-04,130068718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-06,18750.0,0.0,002,1,2025-06-12,2025-06-13,1070.0,1000.6455,14.70365,29301.79,24.2766,0.1564
2022-01-04,130069018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-06,19000.0,0.0,002,1,2025-06-12,2025-06-13,1115.0,1044.3111,14.70365,29301.79,24.0961,0.1564
2022-01-04,130069218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-06,19250.0,0.0,002,1,2025-06-12,2025-06-13,1165.0,1089.8108,14.70365,29301.79,23.9477,0.1564
2022-01-04,130069518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-06,19500.0,0.0,002,1,2025-06-12,2025-06-13,1215.0,1137.1072,14.70365,29301.79,23.7875,0.1564
2022-01-04,130069718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-06,19750.0,0.0,002,1,2025-06-12,2025-06-13,1270.0,1186.1397,14.70365,29301.79,23.6565,0.1564
2022-01-04,130120018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,525.0,0.0,2025-12,20000.0,0.0,002,1,2025-12-11,2025-12-12,1490.0,1381.4476,14.70365,29301.79,22.9203,0.1564
2022-01-04,130120218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-12,20250.0,0.0,002,1,2025-12-11,2025-12-12,1550.0,1437.5502,14.70365,29301.79,22.7802,0.1564
2022-01-04,130120518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-12,20500.0,0.0,002,1,2025-12-11,2025-12-12,1610.0,1495.5694,14.70365,29301.79,22.63,0.1564
2022-01-04,130120718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-12,20750.0,0.0,002,1,2025-12-11,2025-12-12,1680.0,1559.4567,14.70365,29301.79,22.5367,0.1564
2022-01-04,130121018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.0,0.0,2025-12,21000.0,0.0,002,1,2025-12-11,2025-12-12,1750.0,1625.4602,14.70365,29301.79,22.4314,0.1564
2022-01-04,130121218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-12,21250.0,0.0,002,1,2025-12-11,2025-12-12,1820.0,1693.6248,14.70365,29301.79,22.3149,0.1564
2022-01-04,130121518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-12,21500.0,0.0,002,1,2025-12-11,2025-12-12,1895.0,1763.8999,14.70365,29301.79,22.2189,0.1564
2022-01-04,130121718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-12,21750.0,0.0,002,1,2025-12-11,2025-12-12,1975.0,1836.5167,14.70365,29301.79,22.1422,0.1564
2022-01-04,130122018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,850.0,0.0,2025-12,22000.0,0.0,002,1,2025-12-11,2025-12-12,2050.0,1911.211,14.70365,29301.79,22.0235,0.1564
2022-01-04,130122218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-12,22250.0,0.0,002,1,2025-12-11,2025-12-12,2135.0,1988.364,14.70365,29301.79,21.9536,0.1564
2022-01-04,130122518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-12,22500.0,0.0,002,1,2025-12-11,2025-12-12,2220.0,2067.6314,14.70365,29301.79,21.8719,0.1564
2022-01-04,130122718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-12,22750.0,0.0,002,1,2025-12-11,2025-12-12,2305.0,2149.3163,14.70365,29301.79,21.7788,0.1564
2022-01-04,130123018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800.0,0.0,2025-12,23000.0,0.0,002,1,2025-12-11,2025-12-12,2395.0,2233.3343,14.70365,29301.79,21.7031,0.1564
2022-01-04,130123218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-12,23250.0,0.0,002,1,2025-12-11,2025-12-12,2485.0,2319.6988,14.70365,29301.79,21.616,0.1564
2022-01-04,130123518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,2025-12,23500.0,0.0,002,1,2025-12-11,2025-12-12,2580.0,2408.439,14.70365,29301.79,21.5456,0.1564
2022-01-04,130123718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-12,23750.0,0.0,002,1,2025-12-11,2025-12-12,2675.0,2499.6014,14.70365,29301.79,21.464,0.1564
2022-01-04,130124018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,227.0,0.0,2025-12,24000.0,0.0,002,1,2025-12-11,2025-12-12,2775.0,2593.0632,14.70365,29301.79,21.3983,0.1564
2022-01-04,130124218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-12,24250.0,0.0,002,1,2025-12-11,2025-12-12,2875.0,2688.9959,14.70365,29301.79,21.3216,0.1564
2022-01-04,130124518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-12,24500.0,0.0,002,1,2025-12-11,2025-12-12,2980.0,2787.4044,14.70365,29301.79,21.2602,0.1564
2022-01-04,130124718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-12,24750.0,0.0,002,1,2025-12-11,2025-12-12,3085.0,2888.194,14.70365,29301.79,21.1879,0.1564
2022-01-04,130125018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,2025-12,25000.0,0.0,002,1,2025-12-11,2025-12-12,3190.0,2991.4986,14.70365,29301.79,21.1052,0.1564
2022-01-04,130125218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-12,25250.0,0.0,002,1,2025-12-11,2025-12-12,3305.0,3097.2176,14.70365,29301.79,21.0626,0.1564
2022-01-04,130125518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-12,25500.0,0.0,002,1,2025-12-11,2025-12-12,3415.0,3205.3431,14.70365,29301.79,20.9842,0.1564
2022-01-04,130125718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-12,25750.0,0.0,002,1,2025-12-11,2025-12-12,3535.0,3315.9069,14.70365,29301.79,20.9451,0.1564
2022-01-04,130126018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-12,26000.0,0.0,002,1,2025-12-11,2025-12-12,3650.0,3429.0401,14.70365,29301.79,20.8708,0.1564
2022-01-04,130126218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-12,26250.0,0.0,002,1,2025-12-11,2025-12-12,3775.0,3544.5069,14.70365,29301.79,20.8352,0.1564
2022-01-04,130126518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,2025-12,26500.0,0.0,002,1,2025-12-11,2025-12-12,3895.0,3662.5394,14.70365,29301.79,20.765,0.1564
2022-01-04,130126718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-12,26750.0,0.0,002,1,2025-12-11,2025-12-12,4020.0,3783.0401,14.70365,29301.79,20.7089,0.1564
2022-01-04,130127018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,2025-12,27000.0,0.0,002,1,2025-12-11,2025-12-12,4150.0,3905.8651,14.70365,29301.79,20.6667,0.1564
2022-01-04,130127218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-12,27250.0,0.0,002,1,2025-12-11,2025-12-12,4285.0,4031.309,14.70365,29301.79,20.6383,0.1564
2022-01-04,130127518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-12,27500.0,0.0,002,1,2025-12-11,2025-12-12,4420.0,4159.0553,14.70365,29301.79,20.5998,0.1564
2022-01-04,130127718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,2025-12,17750.0,0.0,002,1,2025-12-11,2025-12-12,1035.0,959.376,14.70365,29301.79,24.3628,0.1564
2022-01-04,130128018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,2025-12,18000.0,0.0,002,1,2025-12-11,2025-12-12,1080.0,999.3323,14.70365,29301.79,24.1979,0.1564
2022-01-04,130128218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-12,18250.0,0.0,002,1,2025-12-11,2025-12-12,1125.0,1040.9821,14.70365,29301.79,24.0229,0.1564
2022-01-04,130128518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-12,18500.0,0.0,002,1,2025-12-11,2025-12-12,1170.0,1084.2895,14.70365,29301.79,23.8386,0.1564
2022-01-04,130128718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-12,18750.0,0.0,002,1,2025-12-11,2025-12-12,1220.0,1129.3309,14.70365,29301.79,23.6856,0.1564
2022-01-04,130129018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,2025-12,19000.0,0.0,002,1,2025-12-11,2025-12-12,1270.0,1176.0719,14.70365,29301.79,23.5223,0.1564
2022-01-04,130129218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-12,19250.0,0.0,002,1,2025-12-11,2025-12-12,1320.0,1224.6617,14.70365,29301.79,23.3493,0.1564
2022-01-04,130129518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-12,19500.0,0.0,002,1,2025-12-11,2025-12-12,1375.0,1275.0617,14.70365,29301.79,23.2046,0.1564
2022-01-04,130129718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-12,19750.0,0.0,002,1,2025-12-11,2025-12-12,1430.0,1327.2366,14.70365,29301.79,23.0495,0.1564
2022-01-04,130180018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-06,40000.0,0.0,002,1,2025-06-12,2025-06-13,13540.0,13137.6095,14.70365,29301.79,21.8983,0.1564
