Code,DerivativesProductCategory,UnderlyingSSO,Date,WholeDayOpen,WholeDayHigh,WholeDayLow,WholeDayClose,MorningSessionOpen,MorningSessionHigh,MorningSessionLow,MorningSessionClose,NightSessionOpen,NightSessionHigh,NightSessionLow,NightSessionClose,DaySessionOpen,DaySessionHigh,DaySessionLow,DaySessionClose,Volume,OpenInterest,TurnoverValue,ContractMonth,StrikePrice,Volume(OnlyAuction),EmergencyMarginTriggerDivision,PutCallDivision,LastTradingDay,SpecialQuotationDay,SettlementPrice,TheoreticalPrice,BaseVolatility,UnderlyingPrice,ImpliedVolatility,InterestRate,CentralContractMonthFlag
148239826,NK225MWE,-,2023-05-29,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-23,29875.0,0.0,002,2,2023-06-08,2023-06-09,1480.0,1417.7857,16.8667,31233.54,26.2955,-0.07,1
138230526,NK225MWE,-,2023-05-29,85.0,145.0,85.0,135.0,,,,,,,,,85.0,145.0,85.0,135.0,416.0,62.0,4943500.0,2023-23,30500.0,416.0,002,1,2023-06-08,2023-06-09,120.0,135.0001,16.8667,31233.54,17.727,-0.07,1
148238826,NK225MWE,-,2023-05-29,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-23,28875.0,0.0,002,2,2023-06-08,2023-06-09,2445.0,2381.5046,16.8667,31233.54,35.2837,-0.07,1
138231326,NK225MWE,-,2023-05-29,395.0,395.0,390.0,390.0,,,,,,,,,395.0,395.0,390.0,390.0,2.0,2.0,78500.0,2023-23,31375.0,2.0,002,1,2023-06-08,2023-06-09,430.0,440.5309,16.8667,31233.54,16.3477,-0.07,1
148238326,NK225MWE,-,2023-05-29,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-23,28375.0,0.0,002,2,2023-06-08,2023-06-09,2945.0,2875.2247,16.8667,31233.54,41.0131,-0.07,1
148232326,NK225MWE,-,2023-05-29,105.0,105.0,94.0,94.0,,,,,,,,,105.0,105.0,94.0,94.0,2.0,2.0,19900.0,2023-23,32375.0,2.0,002,2,2023-06-08,2023-06-09,65.0,60.4626,16.8667,31233.54,18.2797,-0.07,1
138239026,NK225MWE,-,2023-05-29,20.0,30.0,20.0,26.0,,,,,,,,,20.0,30.0,20.0,26.0,3.0,3.0,7600.0,2023-23,29000.0,3.0,002,1,2023-06-08,2023-06-09,20.0,26.3992,16.8667,31233.54,24.2751,-0.07,1
138238626,NK225MWE,-,2023-05-29,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-23,28625.0,0.0,002,1,2023-06-08,2023-06-09,17.0,19.5932,16.8667,31233.54,26.9546,-0.07,1
148233626,NK225MWE,-,2023-05-29,1.0,1.0,1.0,1.0,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,100.0,2023-23,33625.0,1.0,002,2,2023-06-08,2023-06-09,8.0,9.3952,16.8667,31233.54,20.4927,-0.07,1
148239126,NK225MWE,-,2023-05-29,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-23,29125.0,0.0,002,2,2023-06-08,2023-06-09,2205.0,2136.6255,16.8667,31233.54,33.401,-0.07,1
